"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 09:54:09 GMT 2022","Wed Oct 26 09:54:16 GMT 2022","7102","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Wed Oct 26 09:54:35 GMT 2022","Wed Oct 26 09:54:39 GMT 2022","4243","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Wed Oct 26 09:51:57 GMT 2022","Wed Oct 26 09:52:03 GMT 2022","5391","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Wed Oct 26 09:53:29 GMT 2022","Wed Oct 26 09:53:36 GMT 2022","6740","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Wed Oct 26 09:49:21 GMT 2022","Wed Oct 26 09:49:30 GMT 2022","8719","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Wed Oct 26 09:53:51 GMT 2022","Wed Oct 26 09:53:56 GMT 2022","4967","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Wed Oct 26 09:49:45 GMT 2022","Wed Oct 26 09:49:56 GMT 2022","11773","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Wed Oct 26 09:49:15 GMT 2022","Wed Oct 26 09:49:21 GMT 2022","6857","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"failed","Wed Oct 26 09:50:45 GMT 2022","Wed Oct 26 09:51:02 GMT 2022","17237","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Wed Oct 26 09:53:44 GMT 2022","Wed Oct 26 09:53:51 GMT 2022","6999","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Wed Oct 26 09:51:25 GMT 2022","Wed Oct 26 09:51:33 GMT 2022","7747","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Wed Oct 26 09:52:35 GMT 2022","Wed Oct 26 09:52:38 GMT 2022","2820","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Wed Oct 26 09:53:00 GMT 2022","Wed Oct 26 09:53:08 GMT 2022","7487","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Wed Oct 26 09:54:00 GMT 2022","Wed Oct 26 09:54:04 GMT 2022","3754","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Wed Oct 26 09:51:33 GMT 2022","Wed Oct 26 09:51:41 GMT 2022","8927","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Wed Oct 26 09:49:30 GMT 2022","Wed Oct 26 09:49:37 GMT 2022","6918","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Wed Oct 26 09:48:50 GMT 2022","Wed Oct 26 09:48:57 GMT 2022","6289","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Wed Oct 26 09:49:04 GMT 2022","Wed Oct 26 09:49:10 GMT 2022","5308","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Wed Oct 26 09:51:15 GMT 2022","Wed Oct 26 09:51:25 GMT 2022","10039","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"failed","Wed Oct 26 09:49:56 GMT 2022","Wed Oct 26 09:50:17 GMT 2022","20338","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Wed Oct 26 09:53:19 GMT 2022","Wed Oct 26 09:53:29 GMT 2022","10427","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Wed Oct 26 09:54:29 GMT 2022","Wed Oct 26 09:54:35 GMT 2022","5566","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Wed Oct 26 09:53:08 GMT 2022","Wed Oct 26 09:53:14 GMT 2022","5854","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Wed Oct 26 09:51:02 GMT 2022","Wed Oct 26 09:51:07 GMT 2022","4914","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Wed Oct 26 09:52:54 GMT 2022","Wed Oct 26 09:53:00 GMT 2022","6463","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Wed Oct 26 09:52:44 GMT 2022","Wed Oct 26 09:52:49 GMT 2022","4783","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Wed Oct 26 09:52:03 GMT 2022","Wed Oct 26 09:52:07 GMT 2022","4093","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Wed Oct 26 09:54:39 GMT 2022","Wed Oct 26 09:54:42 GMT 2022","3173","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Wed Oct 26 09:50:17 GMT 2022","Wed Oct 26 09:50:25 GMT 2022","8515","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Wed Oct 26 09:48:57 GMT 2022","Wed Oct 26 09:49:00 GMT 2022","3307","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Wed Oct 26 09:53:36 GMT 2022","Wed Oct 26 09:53:42 GMT 2022","5633","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Wed Oct 26 09:54:16 GMT 2022","Wed Oct 26 09:54:21 GMT 2022","4824","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Wed Oct 26 09:50:30 GMT 2022","Wed Oct 26 09:50:38 GMT 2022","8649","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Wed Oct 26 09:50:38 GMT 2022","Wed Oct 26 09:50:45 GMT 2022","6913","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"skipped","Wed Oct 26 09:54:04 GMT 2022","Wed Oct 26 09:54:04 GMT 2022","0","","Sign up page testing","","Sign up page testing","ID - 14 Sign up with valid credentials","ID - 14 Sign up with valid credentials",""
"passed","Wed Oct 26 09:53:56 GMT 2022","Wed Oct 26 09:54:00 GMT 2022","4508","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Wed Oct 26 09:51:50 GMT 2022","Wed Oct 26 09:51:57 GMT 2022","7445","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Wed Oct 26 09:54:21 GMT 2022","Wed Oct 26 09:54:26 GMT 2022","5301","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
